1350091,東京都,港区,台場,トウキョウト,ミナトク,ダイバ
1350000,東京都,江東区,,トウキョウト,コウトウク,
1350064,東京都,江東区,青海,トウキョウト,コウトウク,アオミ
1350063,東京都,江東区,有明,トウキョウト,コウトウク,アリアケ
1350014,東京都,江東区,石島,トウキョウト,コウトウク,イシジマ
1350066,東京都,江東区,海の森,トウキョウト,コウトウク,ウミノモリ
1350012,東京都,江東区,海辺,トウキョウト,コウトウク,ウミベ
1350034,東京都,江東区,永代,トウキョウト,コウトウク,エイタイ
1350051,東京都,江東区,枝川,トウキョウト,コウトウク,エダガワ
1350044,東京都,江東区,越中島,トウキョウト,コウトウク,エッチュウジマ
1350011,東京都,江東区,扇橋,トウキョウト,コウトウク,オウギバシ
1350042,東京都,江東区,木場,トウキョウト,コウトウク,キバ
1350024,東京都,江東区,清澄,トウキョウト,コウトウク,キヨスミ
1350031,東京都,江東区,佐賀,トウキョウト,コウトウク,サガ
1350003,東京都,江東区,猿江,トウキョウト,コウトウク,サルエ
1350043,東京都,江東区,塩浜,トウキョウト,コウトウク,シオハマ
1350052,東京都,江東区,潮見,トウキョウト,コウトウク,シオミ
1350062,東京都,江東区,東雲,トウキョウト,コウトウク,シノノメ
1350021,東京都,江東区,白河,トウキョウト,コウトウク,シラカワ
1350007,東京都,江東区,新大橋,トウキョウト,コウトウク,シンオオハシ
1350002,東京都,江東区,住吉,トウキョウト,コウトウク,スミヨシ
1350015,東京都,江東区,千石,トウキョウト,コウトウク,センゴク
1350013,東京都,江東区,千田,トウキョウト,コウトウク,センダ
1350005,東京都,江東区,高橋,トウキョウト,コウトウク,タカバシ
1350053,東京都,江東区,辰巳,トウキョウト,コウトウク,タツミ
1350065,東京都,江東区,中央防波堤,トウキョウト,コウトウク,チュウオウボウハテイ
1350016,東京都,江東区,東陽,トウキョウト,コウトウク,トウヨウ
1350006,東京都,江東区,常盤,トウキョウト,コウトウク,トキワ
1350047,東京都,江東区,富岡,トウキョウト,コウトウク,トミオカ
1350061,東京都,江東区,豊洲（次のビルを除く）,トウキョウト,コウトウク,トヨス(ツギノビルヲノゾク)
1356090,東京都,江東区,豊洲豊洲センタービル（地階・階層不明）,トウキョウト,コウトウク,トヨストヨスセンタービル(チカイ・カイソウフメイ)
1356001,東京都,江東区,豊洲豊洲センタービル（１階）,トウキョウト,コウトウク,トヨストヨスセンタービル(1カイ)
1356002,東京都,江東区,豊洲豊洲センタービル（２階）,トウキョウト,コウトウク,トヨストヨスセンタービル(2カイ)
1356003,東京都,江東区,豊洲豊洲センタービル（３階）,トウキョウト,コウトウク,トヨストヨスセンタービル(3カイ)
1356004,東京都,江東区,豊洲豊洲センタービル（４階）,トウキョウト,コウトウク,トヨストヨスセンタービル(4カイ)
1356005,東京都,江東区,豊洲豊洲センタービル（５階）,トウキョウト,コウトウク,トヨストヨスセンタービル(5カイ)
1356006,東京都,江東区,豊洲豊洲センタービル（６階）,トウキョウト,コウトウク,トヨストヨスセンタービル(6カイ)
1356007,東京都,江東区,豊洲豊洲センタービル（７階）,トウキョウト,コウトウク,トヨストヨスセンタービル(7カイ)
1356008,東京都,江東区,豊洲豊洲センタービル（８階）,トウキョウト,コウトウク,トヨストヨスセンタービル(8カイ)
1356009,東京都,江東区,豊洲豊洲センタービル（９階）,トウキョウト,コウトウク,トヨストヨスセンタービル(9カイ)
1356010,東京都,江東区,豊洲豊洲センタービル（１０階）,トウキョウト,コウトウク,トヨストヨスセンタービル(10カイ)
